CustomerID,RecommendedCustomerID,SimilarityScore
C0001,C0072,0.8754020274100497
C0001,C0091,0.9243368145473521
C0001,C0069,0.9682358410432497
C0002,C0134,0.8633226851202913
C0002,C0055,0.8672744462831153
C0002,C0036,0.8785858823455555
C0003,C0007,0.8974749500654712
C0003,C0005,0.9006786119720626
C0003,C0166,0.9269596398494403
C0004,C0090,0.9131339532089338
C0004,C0065,0.9213543329259481
C0004,C0075,0.9804638599143274
C0005,C0003,0.9006786119720626
C0005,C0166,0.9225840628904324
C0005,C0197,0.9790240655576302
C0006,C0200,0.871869481336054
C0006,C0196,0.8943008624057095
C0006,C0185,0.9205148100286541
C0007,C0005,0.874594504984755
C0007,C0003,0.8974749500654712
C0007,C0085,0.9836616097814387
C0008,C0194,0.7797938230598278
C0008,C0024,0.8588798775936048
C0008,C0109,0.9186087718061905
C0009,C0077,0.9804393158148395
C0009,C0083,0.9858970239483383
C0009,C0032,0.9925858689765025
C0010,C0062,0.9437312458197858
C0010,C0111,0.9639636011196416
C0010,C0029,0.9985857890885214
C0011,C0099,0.7753561326618172
C0011,C0153,0.8354743444062053
C0011,C0016,0.9596524892218464
C0012,C0113,0.8829337136876074
C0012,C0163,0.8857937849967629
C0012,C0100,0.9057115893113705
C0013,C0188,0.8957566346228617
C0013,C0099,0.9578906964082581
C0013,C0046,0.9811312426363692
C0014,C0058,0.980771392419704
C0014,C0097,0.9849769569317347
C0014,C0151,0.995340078656924
C0015,C0014,0.940533747187793
C0015,C0128,0.949135609265963
C0015,C0071,0.9511771729995201
C0016,C0117,0.7715659806387665
C0016,C0153,0.8417325908379605
C0016,C0011,0.9596524892218464
C0017,C0122,0.8681015389411452
C0017,C0065,0.8683995420588838
C0017,C0179,0.876520857684808
C0018,C0051,0.8935733311033931
C0018,C0168,0.9501849670794326
C0018,C0023,0.9514945558760354
C0019,C0161,0.7818795182738498
C0019,C0119,0.8142021343491473
C0019,C0094,0.8216537931142721
C0020,C0130,0.888152735021107
C0020,C0078,0.8925308489668564
C0020,C0140,0.9274677154451628
